2025-10-08 15:17:30 [main] INFO  com.solvd.university.main.Main - mesage
2025-10-08 15:17:31 [main] INFO  com.solvd.university.main.Main - size10
2025-10-08 15:28:21 [main] INFO  com.solvd.university.main.Main - Student is not able to register this course
2025-10-08 15:28:21 [main] INFO  com.solvd.university.main.Main - size10
2025-10-08 15:28:21 [main] INFO  com.solvd.university.main.Main - Faculty: Science Faculty
2025-10-08 15:28:21 [main] INFO  com.solvd.university.main.Main -  
2025-10-08 15:28:21 [main] INFO  com.solvd.university.main.Main - Faculty: Engineering Faculty
2025-10-08 15:28:21 [main] INFO  com.solvd.university.main.Main -  
2025-10-08 15:28:47 [main] INFO  com.solvd.university.main.Main - Student is not able to register this course
2025-10-08 15:28:47 [main] INFO  com.solvd.university.main.Main - size10
2025-10-08 15:28:47 [main] INFO  com.solvd.university.main.Main - Faculty: Science Faculty
2025-10-08 15:28:47 [main] INFO  com.solvd.university.main.Main - Faculty: Engineering Faculty
2025-10-08 15:29:26 [main] INFO  com.solvd.university.main.Main - Student is not able to register this course
2025-10-08 15:29:26 [main] INFO  com.solvd.university.main.Main - size10
2025-10-08 15:29:26 [main] INFO  com.solvd.university.main.Main - KIU
2025-10-08 15:29:26 [main] INFO  com.solvd.university.main.Main - Faculty: Science Faculty
2025-10-08 15:29:26 [main] INFO  com.solvd.university.main.Main - Faculty: Engineering Faculty
2025-10-08 15:29:49 [main] INFO  com.solvd.university.main.Main - Student is not able to register this course
2025-10-08 15:29:49 [main] INFO  com.solvd.university.main.Main - size10
2025-10-08 15:29:49 [main] INFO  com.solvd.university.main.Main - KIU
2025-10-08 15:29:49 [main] INFO  com.solvd.university.main.Main - Faculty: Science Faculty
2025-10-08 15:29:49 [main] INFO  com.solvd.university.main.Main - Faculty: Engineering Faculty
2025-10-08 15:52:06 [main] INFO  com.solvd.university.administraion.Administration - Administration class loaded at 2025-10-08T15:52:06.904180300 (+04 timezone)
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student is not able to register this course
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - size10
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - KIU
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Faculty: Science Faculty
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Course: Mathematics
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Professor teaches course:  Emily
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: Alice
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: Bob
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: Clara
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Course: Computer Science
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Professor teaches course: James
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: David
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: Eva
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: Frank
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Student: Grace
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Faculty: Engineering Faculty
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Course: Physics
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Professor teaches course: Eva
2025-10-08 15:52:06 [main] INFO  com.solvd.university.exam.ExamSession - Exam session started in Room Room101 at 2025-10-08T15:52:06.944014600 (+04 timezone)
2025-10-08 15:52:06 [main] INFO  com.solvd.university.exam.ExamSession - Exam conducted in Room Room101
2025-10-08 15:52:06 [main] INFO  com.solvd.university.exam.FinalExam - Exam Started Successfully
2025-10-08 15:52:06 [main] INFO  com.solvd.university.exam.FinalExam - Exam Ended
2025-10-08 15:52:06 [main] INFO  com.solvd.university.exam.ExamSession - Exam session closed in Room Room101 at 2025-10-08T15:52:06.945212300 (+04 timezone)
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Exam result
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Alice 71.49072858533381 C
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Bob 75.03742824395475 C
2025-10-08 15:52:06 [main] INFO  com.solvd.university.main.Main - Clara 44.92093609513109 F
